text,source,original_id,toxicity,hate_speech,harassment,self_harm,violence,sexual,profanity,spam,label_vector
This is horrendous,tweeteval_hate,hate_0,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Pro Tip- All girls like being told they're good girls,tweeteval_hate,hate_1,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
your girlfriend a major snorter but that bitch ain't worth a quarter 😬,tweeteval_hate,hate_2,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"bitch bitch dont be mad, you better be glad kus this the best piece of pussy that ya man ever had 🤸🏽‍♂️",tweeteval_hate,hate_3,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user @user Your an idiot slag him off behind his back call him out you have a. Problem,tweeteval_hate,hate_4,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Nigerian Immigrant Raped 7-Year-Old Girl In Texas via @user   Another scum...,tweeteval_hate,hate_5,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Redhead girls are hot! But Ginger girls are USUALY fugly,tweeteval_hate,hate_6,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Austrian newspaper KURIER dont speak of the new Antisemitism of islamic refugees.,tweeteval_hate,hate_7,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"@user Fits with the old paradigm of women in our culture as The Madonna Or The Whore, particularly in popular culture.",tweeteval_hate,hate_8,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Syrian migrant arrested for raping 13-year-old Swedish girl,tweeteval_hate,hate_9,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user @user @user American Kids Killed by Illegals are Permanently Separated from their families were is the Protest!!!! Illegal #FamiliesBelongTogether in their Country Not the U.S,tweeteval_hate,hate_10,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"@user SEASON 2 is being filmed in &gt; SIX WEEKS!! U don't want to miss szn2! They're asking for donations to raise an extra $2,500 in order to bring on 2 brilliant, young immigrant filmmakers as lead crew members and producers for this season",tweeteval_hate,hate_11,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"But remember, you cheated on me first, you’re a whore, you’re a whore, this is whore 😂😂😂",tweeteval_hate,hate_12,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
@user and we're smarter than that bitch,tweeteval_hate,hate_13,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
i’ve seen so many people on facebook get mad at men for posting #metoo because it’s for women only BITCH anyone can be sexually assaulted,tweeteval_hate,hate_14,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
IS there a thing in the constituion about women shutting the hell up? COME ON! #shutthehellupwomen..,tweeteval_hate,hate_15,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
Also just because a woman has been drinking is not a invitation to rape. #MeToo,tweeteval_hate,hate_16,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
You pick the guy thats a total douche to you over the one whose good to you. Got it. Makes perfect sense! #WomenSuck,tweeteval_hate,hate_17,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"@user @user @user Gtfo, illegal, why because they broke a law to get here, thereby making them criminals. So Illegal Immigrants. But I will accept Criminals as an alternative. Also you dont get to call yourself undocumented if you ha",tweeteval_hate,hate_18,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
