text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
"What a breathe of fresh air to have someone who embraces common sense values, instead of the leadership we have in Canada, that is clearly on a different page, perhaps reading from a different book.",0.16666667,0.0,0.0,0.0,0.16666667,0.0,0.0
"Your jewish friends were the ones who told you that Zionists control Canada?

Very believable.. hahaha.

Do your jewish friends get their info from a white supremacist web site, or do they publish the sites themselves, given that jews control the media and such?

 That is, when they're taking off time from controlling the banks.",0.6,0.2,0.0,0.0,0.4,0.6,0.0
"Possible collusion by Trump and his affiliates has not been debunked, as you state. The matter is one focus of the ongoing investigations. The existence of ongoing investigations of collusion is factual even though it might conflict with diatribe and political spin of some persons' echo chambers.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Exactly.  We need a % of GDP spending cap at the federal level (18%).

I wouldn't mind paying more taxes so much if it meant paying down the debt.  But instead, they just spend every dime, and more, anytime they get their hands on our money.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"By your own comment, even if some of them voted NDP or PQ, then Trudeau has been demonstrably less partisan in his appointments.    Of course, the NDP don't support the Senate and actually put their money where their mouths are.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
My thought too. If they care so much for it they can put their money where their mouth is and buy the thing.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kboo - if he was born there there is no ""vetting"" he goes through.  Only immigrant applicants are ""vetted""",0.0,0.0,0.0,0.0,0.0,0.2,0.0
If you keep these degenerates in jail for life they don't need to be registered...problem solved. Maybe not blaming the victim for any of this would be a courteous thing to do as well. These offenders do not deserve any sympathy.,0.4,0.0,0.0,0.0,0.4,0.0,0.0
"More police but less tax. Why is my street not plowed, less tax. Why are there so many homeless, less tax. Services cost money. Public safety, plowing and caring for the less fortunate all cost money. Republicans always sing the same sad song, whether it is local or national politics. Stop crying snowflakes.",0.2,0.0,0.0,0.0,0.2,0.0,0.0
"""I don't read books.""
Robert Richie (Kid Rock)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""...more important than keeping this impetuous, vicious, ignorant and anti-constitutional man from being at that desk."" 

Well seeing as description could be evenly applied to both Trump and Ryan, I fail to why Will is so astonished that they formed a ""partnership"".",0.8333333,0.0,0.0,0.0,0.8333333,0.0,0.0
"So I guess the ""Life in Prison"" for ""Treason"" predictions while they were at Malheur are off the table, then?

So many disappointed anti-gun nuts!  So many sad liberals!  So many armchair  psuedo-attorneys losing even more credibility.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Another classic example of the DA's office over charging the victims of a terrible event...Murder? Not even close. Just so I am clear if a baby were aborted at 30 weeks by D&X and it's brains evacuated by a suction catheter or by feticide well thats a woman being a responsible steward of her body but if a child is delivered at home by someone freely and openly practicing her religious beliefs and one of her 30 week old babies delivers with underdeveloped lungs (like they all have at this stage) and dies within a few hours of its birth ...even though the parents did everything their beliefs allowed them to do ...well that's murder? Are you freaking kidding me? Had both babies been born in a hospital their survival rate would have been north of 96% ... While it's hard to understand why they wouldn't take advantage of the advanced services available to them they are anything but murderers and the judge's decision to hold them without bail is criminal as their atty Steve House will explain,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fast track drugs on a promise from Pharmaceuticals that it's safe then  take away class action lawsuits, seems like sweet deal. Invest in drug companies...returns should be good.
The swamp was supposed to be all the lobbyist for large corporation and special interest? Yes, he is draining it by putting his boys in charge. No need for lobbyist, just got to have good friends in the departments.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Towing is generally a torque issue. A 34 hp engine with the right transmission and maximum torque at the differential can tow just as much as 600hp with a non optimised transmission.  

A diesel can generally tow more, owing to favourable torque curves, larger/longer piston/shaft connecting rods leading to more leverage on the drive shaft. 

With proper design one can achieve a lot with a little. Tired of the argument that bigger is always required to do a tough job, engineering disagrees.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Voc must have worked hard to think of that one, well done Homer!",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I don't see the reason why Darien Stewart, # 26, is still on the field. He can't cover anyone. Go back to the Ravens game when he was  out of position and didn't break up what turned out be the winning play of that game. Also, Denver gives up in the 4th quarter if they have any kind of a lead.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The outright, absolute and very public condemnations of the Senator seem to be an exercise in ""virtue signalling"" writ large. What she said may not be politically correct, it might be controversial and you may not agree.  But the criticisms of her speak volumes about the people making them - such vitriol, dismissiveness, condescension, ...rife with the insertion of straw man and ad hominem arguments. Add to that, the accusations that the Senator is wholly malicious in her intentions and completely incompetent.  - What is this need to ascribe malice, when there clearly is none? Why attack, when you are free to present your counter solutions? Why cherrypick an unbalanced picture of her words (as certain media outlets have done)? Why silence, when you can try to understand another's sincere and positive motives. Look for the grains of truth (and the larger truths as well). Disagree if you like. Passionately if you wish. But for many I think the phrase ""thou doth protest too much"" applies.",0.4,0.0,0.0,0.1,0.4,0.1,0.0
"The Democrats own the ACA totally. They neither wanted, nor sought, any input from the Republicans.",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Victimitis  you disagree? regarding manhood size or the simple fact men have used UBER to assault women  Do a google, 'toronto sexual assault by uber drivers , while you are at it , check globally also.",0.2,0.0,0.0,0.1,0.3,0.1,0.4
Some one needs to be impeached today not tomorrow.,0.0,0.0,0.0,0.0,0.0,0.0,0.0
