text,source,original_id,toxicity,hate_speech,harassment,self_harm,violence,sexual,profanity,spam,label_vector
"934 8616
i got a missed call from yo bitch",davidson,davidson_0,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @KINGTUNCHI_: Fucking with a bad bitch you gone need some money lil homie!,davidson,davidson_1,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"RT @eanahS__: @1inkkofrosess lol my credit ain't no where near good , but I know the right man for the job .. that ho nice though!",davidson,davidson_2,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
RT @Maxin_Betha Wipe the cum out of them faggot RT @80sbaby4life Contact lens is wildin can't see shit,davidson,davidson_3,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
Niggas cheat on they bitch and don't expect no pay back WHATSOEVER. Yall just as naive as these bitches.,davidson,davidson_4,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"Mother asked what I wanted for Christmas this year. Replied with for her to not go crazy, and my sister to not be a bitch.",davidson,davidson_5,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"That's real dedication. .. &#171;@arigold_88 This bitch got diarrhea and still here, shitting up the bathroom.&#187;",davidson,davidson_6,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"Kiss IMO this conductor, it's 4:30 AM have some courtesy you bitch.",davidson,davidson_7,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
My momma keep talking to me like bitch gtf I'm on Twitter.,davidson,davidson_8,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @karlos_budah: I kno this bitch a thot she wanna meet my momma now,davidson,davidson_9,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
like a bitch pic is flirting nowadays,davidson,davidson_10,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
@Nien_Nunb what did you search? Gay redneck episode 1 play?,davidson,davidson_11,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Halloween's over, and bitches still playing roles.",davidson,davidson_12,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
fucking queer,davidson,davidson_13,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"Why bitches quick to have a nigga baby, then be suprised when she taking care of it by herself?",davidson,davidson_14,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
I stopped snapping on women and calling them bitches.,davidson,davidson_15,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"@KeebitHalal @LogansWarning gotta love it when the islamofascist cow tries to make a retort about age, typical muzzie idiocy",davidson,davidson_16,True,True,True,False,False,False,False,False,"1,1,1,0,0,0,0,0"
"Idgaf about you flat chested hoes feelings either, you a grown ass man nigga.",davidson,davidson_17,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
So yall give farwells to Lulu yet did all but shit on Kris? Ok bitches... ok,davidson,davidson_18,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
@StunningStina their tortillas are trash though.,davidson,davidson_19,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"RT @_sheswatsPOPPIN: js met a lil bitch wit a long name mufucka had more letters den Tennessee, I go gorilla ina pussy, RIP&#128527;",davidson,davidson_20,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
i need one of these around the world twitter bitches cause these local facebook hoes aint cuttin it lol,davidson,davidson_21,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"RT @JeffDuncan_: JSU coach Omar Johnson: ""It's what u do against the ball. U throw it, hit it, catch it. Doesn't matter if the Yankees are &#8230;",davidson,davidson_22,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"i seen a nigga dressed to impress, hop out da bus n a bitch wit a phatty, get off at his stop too. Say somethin...GOD THROWIN U DA LOB",davidson,davidson_23,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
2 or 3 hoes for everything &#128527;&#128520;&#128526;,davidson,davidson_24,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"If I had hair, I would seriously go for a perm now. Genetics is a stone cold bitch.",davidson,davidson_25,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
Ima start friend zoning these hoes &#128514;&#128514;&#128514;,davidson,davidson_26,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @bdha: http://t.co/zPrnmY7kQR What a shit heel.,davidson,davidson_27,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
This bitch pregnant again &#128064;&#128514;&#128514;,davidson,davidson_28,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @davegetnmoney: We don't want no skinny bitches get out! WE WANT BIG BOOTY BITCHES!,davidson,davidson_29,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @VibeLord: your opinion of me is highly irrelevant bitch,davidson,davidson_30,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @BigSean: Suck my dick bitch RT @MaizeNBlue23: @bigsean not only are you terrible. You are why hip hop is dead,davidson,davidson_31,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @rebellious_midy: Ugly bitches definitely disguste me &#128534; ewww yuck!,davidson,davidson_32,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
This hoe taken by the world smh,davidson,davidson_33,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
RT @CauseWereGuys: How to get unlimited pussy in high school http://t.co/0yaDezrREr,davidson,davidson_34,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
"RT @lovexlilyy: don't play games with a girl who can play better, bitch.",davidson,davidson_35,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
I'm just tryna get to sleep before the birds start getting rowdy.,davidson,davidson_36,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
Kiss imik this bitch just added another 50 seconds to her story I think its a new record.,davidson,davidson_37,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
Inde jus got me all hype at work!! I knew my bitch Candace ain't die,davidson,davidson_38,True,False,False,False,False,False,True,False,"1,0,0,0,0,0,1,0"
@panchoftf red and yellow it should be then,davidson,davidson_39,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"I, for one, welcome our new Eastern Panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",davidson,davidson_40,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
