text,source,original_id,toxicity,hate_speech,harassment,self_harm,violence,sexual,profanity,spam,label_vector
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
",spam_sms_spam,spam_0,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Ok lar... Joking wif u oni...
",spam_sms_spam,spam_1,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",spam_sms_spam,spam_2,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"U dun say so early hor... U c already then say...
",spam_sms_spam,spam_3,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Nah I don't think he goes to usf, he lives around here though
",spam_sms_spam,spam_4,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
",spam_sms_spam,spam_5,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"Even my brother is not like to speak with me. They treat me like aids patent.
",spam_sms_spam,spam_6,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",spam_sms_spam,spam_7,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",spam_sms_spam,spam_8,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",spam_sms_spam,spam_9,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
",spam_sms_spam,spam_10,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",spam_sms_spam,spam_11,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
",spam_sms_spam,spam_12,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
",spam_sms_spam,spam_13,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"I HAVE A DATE ON SUNDAY WITH WILL!!
",spam_sms_spam,spam_14,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",spam_sms_spam,spam_15,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"Oh k...i'm watching here:)
",spam_sms_spam,spam_16,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
",spam_sms_spam,spam_17,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Fine if thats the way u feel. Thats the way its gota b
",spam_sms_spam,spam_18,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",spam_sms_spam,spam_19,False,False,False,False,False,False,False,True,"0,0,0,0,0,0,0,1"
"Is that seriously how you spell his name?
",spam_sms_spam,spam_20,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"I‘m going to try for 2 months ha ha only joking
",spam_sms_spam,spam_21,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"So ü pay first lar... Then when is da stock comin...
",spam_sms_spam,spam_22,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",spam_sms_spam,spam_23,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Ffffffffff. Alright no way I can meet up with you sooner?
",spam_sms_spam,spam_24,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
",spam_sms_spam,spam_25,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Lol your always so convincing.
",spam_sms_spam,spam_26,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",spam_sms_spam,spam_27,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
"I'm back &amp; we're packing the car now, I'll let you know if there's room
",spam_sms_spam,spam_28,False,False,False,False,False,False,False,False,"0,0,0,0,0,0,0,0"
